City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
389,Oranjemund,-28.55,16.4333,55.54,64,0,7.36,NA,clear sky
390,Zabol,32.25,67.25,74.79,50,78,2.35,AF,broken clouds
391,Cayenne,4.9333,-52.3333,81.09,83,75,1.01,GF,broken clouds
392,Pemba,-12.974,40.5178,72.3,94,40,14.97,MZ,scattered clouds
393,Lucea,18.451,-78.1736,85.86,77,48,6.42,JM,scattered clouds
394,Puerto Madryn,-42.7692,-65.0385,49.33,42,2,15.66,AR,clear sky
395,Port Lavaca,28.615,-96.6261,92.3,70,40,9.22,US,scattered clouds
396,Praia,14.9215,-23.5087,77.54,73,20,10.36,CV,few clouds
397,Saint-Georges,12.0564,-61.7485,83.88,79,40,23.02,GD,scattered clouds
398,Provideniya,64.3833,-173.3,46.83,97,100,7.87,RU,light rain
399,Mina,26.0011,-100.5299,90.81,36,77,14.07,MX,broken clouds
400,Sterling,39.0062,-77.4286,96.42,48,40,5.99,US,scattered clouds
401,Kawalu,-7.3817,108.2082,68.86,96,84,1.28,ID,broken clouds
402,Krasnyy Luch,48.1395,38.9371,71.04,71,88,3.0,UA,overcast clouds
403,Toora-Khem,52.4675,96.11,52.66,98,91,1.83,RU,overcast clouds
404,Puerto Ayacucho,5.6639,-67.6236,77.14,89,96,4.92,VE,light rain
405,Qaqortoq,60.7167,-46.0333,55.9,65,100,2.04,GL,overcast clouds
406,Prainha,-1.8,-53.48,80.33,72,45,1.88,BR,scattered clouds
407,Katsuura,35.1333,140.3,80.11,88,17,3.31,JP,few clouds
408,Mishan,45.55,131.8833,75.45,90,2,3.44,CN,clear sky
409,Yichang,30.7144,111.2847,77.81,95,100,3.0,CN,overcast clouds
410,Abha,18.2164,42.5053,71.42,60,40,11.5,SA,scattered clouds
411,Keti Bandar,24.1447,67.4497,86.25,73,100,3.4,PK,overcast clouds
412,Clovis,36.8252,-119.7029,103.35,22,1,1.99,US,smoke
413,Sobolevo,54.4299,31.8996,68.7,85,0,6.22,RU,clear sky
414,Lashio,22.9333,97.75,67.62,100,100,0.4,MM,overcast clouds
415,Aqtobe,50.2797,57.2072,62.69,67,0,4.47,KZ,clear sky
416,Bowen,-20.0167,148.2333,65.59,55,85,9.42,AU,overcast clouds
417,Vila Franca Do Campo,37.7167,-25.4333,70.21,87,76,6.29,PT,broken clouds
418,Beni Suef,29.0731,31.0979,87.87,33,0,11.81,EG,clear sky
419,Hazorasp,41.3194,61.0742,75.04,18,56,7.45,UZ,broken clouds
420,Montepuez,-13.1256,38.9997,62.94,67,0,12.15,MZ,clear sky
421,Fayaoue,-20.65,166.5333,75.69,86,0,0.76,NC,clear sky
422,Boende,-0.2167,20.8667,75.27,60,66,2.26,CD,broken clouds
423,Quesnel,52.9999,-122.5029,73.9,49,1,10.36,CA,clear sky
424,Itaituba,-4.2761,-55.9836,86.16,70,20,0.0,BR,few clouds
425,Poltavka,54.3663,71.7632,56.01,87,91,5.32,RU,overcast clouds
426,Sadao,6.6388,100.4234,78.33,95,97,0.87,TH,overcast clouds
427,Filadelfia,39.9523,-75.1638,95.43,48,40,8.01,US,scattered clouds
428,Markova,48.6758,24.4138,64.0,91,35,2.73,UA,scattered clouds
429,George Town,5.4112,100.3354,81.9,74,20,1.01,MY,few clouds
430,Kirakira,-10.4544,161.9205,83.28,78,47,13.51,SB,scattered clouds
431,Zaozerne,45.1582,33.2787,74.95,57,0,8.59,UA,clear sky
432,Ust-Maya,60.4167,134.5333,61.57,86,100,9.22,RU,overcast clouds
433,Ust-Barguzin,53.45,108.9833,54.9,88,100,1.36,RU,overcast clouds
434,Hastings,50.8552,0.5729,66.13,85,0,7.16,GB,clear sky
435,Talnakh,69.4865,88.3972,48.43,69,100,2.26,RU,overcast clouds
436,Kalmunai,7.4167,81.8167,81.1,78,100,4.18,LK,overcast clouds
437,Port Blair,11.6667,92.75,81.34,81,100,10.71,IN,overcast clouds
438,Bad Salzungen,50.8167,10.2333,67.19,89,90,2.46,DE,overcast clouds
439,Lere,10.387,8.5726,69.78,94,72,5.5,NG,broken clouds
440,Northam,51.0333,-4.2167,69.91,90,0,2.15,GB,clear sky
441,Rognan,67.0953,15.3878,55.54,93,100,4.74,NO,overcast clouds
442,Rosarito,32.3333,-117.0333,92.59,69,24,10.8,MX,few clouds
443,Ginda,30.6945,78.4932,67.51,98,99,2.8,IN,overcast clouds
444,Porto Novo,6.4965,2.6036,78.62,94,100,9.53,BJ,moderate rain
445,Key West,24.5557,-81.7826,87.01,70,20,17.27,US,few clouds
446,Batagay-Alyta,67.8006,130.4114,60.75,43,100,4.18,RU,overcast clouds
447,Ormara,25.2088,64.6357,84.4,74,100,5.59,PK,overcast clouds
448,Leningradskiy,69.3833,178.4167,36.03,95,100,4.47,RU,light rain
449,Margate,51.3813,1.3862,64.69,82,0,11.99,GB,clear sky
450,Van,38.4924,43.3831,60.15,72,20,4.61,TR,few clouds
451,Almeirim,-1.5233,-52.5817,81.43,70,89,1.45,BR,overcast clouds
452,Comodoro Rivadavia,-45.8667,-67.5,49.86,50,75,12.66,AR,broken clouds
453,Kamenka,51.3223,42.7678,67.59,80,100,5.75,RU,overcast clouds
454,Harper,4.375,-7.7169,76.77,82,95,12.66,LR,overcast clouds
455,Denia,38.8408,0.1057,78.94,76,0,1.99,ES,clear sky
456,Strezhevoy,60.7333,77.5889,53.58,88,100,3.8,RU,overcast clouds
457,Dir,35.2058,71.8756,72.19,81,14,3.33,PK,few clouds
458,Udachnyy,66.4167,112.4,63.48,68,14,15.19,RU,few clouds
459,Abalak,58.1286,68.5944,48.13,95,0,3.87,RU,clear sky
460,Geraldton,-28.7667,114.6,55.81,94,90,4.61,AU,light rain
461,Saint-Pierre,-21.3393,55.4781,69.48,76,75,18.41,RE,broken clouds
462,Vanimo,-2.6741,141.3028,76.75,89,100,2.77,PG,overcast clouds
463,Tiznit,29.5833,-9.5,84.52,22,25,0.94,MA,scattered clouds
464,Lisala,2.15,21.5167,72.03,92,96,3.02,CD,overcast clouds
465,Eureka,40.8021,-124.1637,69.21,72,25,7.0,US,scattered clouds
466,Carson City,39.1638,-119.7674,96.66,9,1,1.01,US,clear sky
467,Anchorage,61.2181,-149.9003,78.31,59,1,3.44,US,clear sky
468,Amga,60.8953,131.9608,62.2,48,100,9.17,RU,overcast clouds
469,Lamont,35.2597,-118.9143,107.71,13,8,8.41,US,clear sky
470,Hohhot,40.8106,111.6522,70.09,94,0,2.24,CN,clear sky
471,Birjand,32.8663,59.2211,82.87,20,40,11.5,IR,scattered clouds
472,French Harbor,16.35,-86.4333,84.99,79,75,1.01,HN,broken clouds
473,Ostrovnoy,68.0531,39.5131,52.05,80,67,9.73,RU,broken clouds
474,Thompson,55.7435,-97.8558,77.16,53,40,10.36,CA,smoke
475,Port Said,31.2565,32.2841,80.58,83,0,12.66,EG,clear sky
476,Jalu,29.0331,21.5482,82.71,49,0,17.49,LY,clear sky
477,Araouane,18.9048,-3.5265,97.12,21,31,3.42,ML,scattered clouds
478,Turayf,31.6725,38.6637,84.45,48,0,13.8,SA,clear sky
479,Mascote,-15.5631,-39.3025,71.2,84,46,4.25,BR,scattered clouds
480,Kongolo,-5.3833,27.0,75.42,41,9,3.44,CD,clear sky
481,Sandnessjoen,66.0217,12.6316,59.52,94,75,14.97,NO,drizzle rain
482,Kwinana,-32.25,115.7667,55.24,82,100,5.37,AU,light rain
483,San Patricio,28.017,-97.5169,93.61,53,24,17.05,US,few clouds
484,Careiro Da Varzea,-3.2003,-59.8119,86.61,71,89,1.19,BR,overcast clouds
485,Neuquen,-38.9516,-68.0591,53.49,32,0,14.97,AR,clear sky
486,Requena,39.4883,-1.1004,69.58,80,0,5.41,ES,clear sky
487,Along,28.1667,94.7667,74.71,98,98,0.89,IN,light rain
488,Isernia,41.6002,14.2382,67.91,92,45,1.79,IT,scattered clouds
489,Alugan,12.2188,125.4808,77.56,89,100,4.65,PH,overcast clouds
490,San Ignacio,17.1561,-89.0714,89.74,62,40,6.91,BZ,thunderstorm
